_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
271.284325	-19.823492	271.284325	-19.823492	18050823-1949245	15.213		14.114	0.134	13.238	0.095	UBA	022	011	000	0	0
271.314452	-19.856045	271.314452	-19.856045	18051546-1951217	16.028		14.362	0.105	13.243	0.077	UBA	022	011	000	0	0
271.300986	-19.821920	271.300986	-19.821920	18051223-1949189	14.890		12.756		13.249	0.065	UUA	002	001	00c	0	0
271.311015	-19.863167	271.311015	-19.863167	18051464-1951474	13.919	0.034	13.524	0.033	13.250	0.050	AAA	222	111	0pp	0	0
271.284048	-19.833754	271.284048	-19.833754	18050817-1950015	15.747	0.138	13.936		13.265		BUU	200	100	c00	0	0
271.293851	-19.840164	271.293851	-19.840164	18051052-1950245	14.913	0.052	13.644		13.266		AUU	200	100	000	0	0
271.292838	-19.865528	271.292838	-19.865528	18051028-1951559	14.481		13.103		13.268	0.068	UUA	662	002	00c	0	0
271.309618	-19.844423	271.309618	-19.844423	18051430-1950399	15.099	0.061	13.803		13.273		AUU	200	100	c00	2	0
271.279302	-19.831055	271.279302	-19.831055	18050703-1949517	16.017	0.111	14.176	0.078	13.276	0.054	CBA	222	111	cc0	0	0
271.296892	-19.863314	271.296892	-19.863314	18051125-1951479	15.549	0.085	14.111		13.277		BUU	200	100	000	0	0
271.327875	-19.841656	271.327875	-19.841656	18051869-1950299	15.438		13.439		13.280	0.078	UUA	062	002	00c	0	0
271.319062	-19.866760	271.319062	-19.866760	18051657-1952003	15.310		14.158	0.085	13.283	0.066	UBA	022	011	0cc	0	0
271.311888	-19.835918	271.311888	-19.835918	18051485-1950093	14.461	0.034	13.751	0.051	13.284	0.053	AAA	222	111	000	0	0
271.285413	-19.834948	271.285413	-19.834948	18050849-1950058	15.044		14.232	0.114	13.291	0.071	UBA	022	011	000	0	0
271.318281	-19.834946	271.318281	-19.834946	18051638-1950058	16.942		14.499	0.057	13.291	0.039	UCA	022	011	000	0	0
271.311114	-19.860603	271.311114	-19.860603	18051466-1951381	17.190		14.408	0.072	13.297	0.051	UBA	022	011	00s	0	0
271.320784	-19.827583	271.320784	-19.827583	18051698-1949392	15.198		14.008		13.300	0.072	UUA	002	001	000	0	0
271.305851	-19.839094	271.305851	-19.839094	18051340-1950207	15.309		14.438	0.075	13.302	0.065	UBA	022	011	000	0	0
271.296493	-19.845936	271.296493	-19.845936	18051115-1950453	15.985	0.094	14.220	0.055	13.310	0.058	CBA	222	111	000	0	0
271.282278	-19.849960	271.282278	-19.849960	18050774-1950598	15.580	0.105	13.819		13.316		BUU	200	100	c00	0	0
271.321384	-19.839828	271.321384	-19.839828	18051713-1950233	15.911		13.923		13.317	0.098	UUA	002	001	00c	0	0
271.288641	-19.863264	271.288641	-19.863264	18050927-1951477	15.756	0.124	14.002		13.319		BUU	200	100	c00	0	0
271.300857	-19.845276	271.300857	-19.845276	18051220-1950429	16.559		14.100	0.049	13.323	0.055	UBE	022	011	000	0	0
271.286345	-19.851688	271.286345	-19.851688	18050872-1951060	15.040	0.071	14.336	0.096	13.328		ABU	220	110	cc0	0	0
271.300897	-19.833607	271.300897	-19.833607	18051221-1950009	14.004	0.023	13.567	0.040	13.330	0.060	AAE	222	111	000	0	0
271.297000	-19.827805	271.297000	-19.827805	18051128-1949400	15.958	0.127	14.116		13.332		CUU	200	100	c00	0	0
271.314822	-19.851229	271.314822	-19.851229	18051555-1951044	16.391		14.219		13.334	0.051	UUA	002	001	000	0	0
271.289665	-19.845699	271.289665	-19.845699	18050951-1950445	17.161		14.314	0.076	13.348	0.062	UBA	022	011	000	0	0
271.290260	-19.840433	271.290260	-19.840433	18050966-1950255	15.820	0.095	14.049	0.076	13.351	0.059	BAA	222	111	000	0	0
271.286149	-19.837387	271.286149	-19.837387	18050867-1950145	15.258		14.165	0.065	13.361	0.057	UBA	022	012	0cc	0	0
271.328991	-19.850315	271.328991	-19.850315	18051895-1951011	16.106		14.191		13.362	0.058	UUA	002	001	000	0	0
271.291769	-19.857180	271.291769	-19.857180	18051002-1951258	14.151	0.043	13.575	0.072	13.365	0.068	AAA	222	111	000	0	0
271.318157	-19.819105	271.318157	-19.819105	18051635-1949087	15.494	0.065	14.266	0.048	13.366	0.062	BBE	222	111	c00	0	0
271.306094	-19.841043	271.306094	-19.841043	18051346-1950277	14.062		13.588		13.382	0.166	UUC	002	001	00c	2	0
271.286759	-19.863239	271.286759	-19.863239	18050882-1951476	15.390	0.143	14.389	0.174	13.383		BCU	220	110	cc0	0	0
271.302630	-19.855976	271.302630	-19.855976	18051263-1951215	16.049		14.443	0.051	13.386	0.046	UBA	022	011	000	0	0
271.285114	-19.832945	271.285114	-19.832945	18050842-1949586	15.183		14.291	0.184	13.389	0.103	UCA	022	011	000	0	0
271.329389	-19.834305	271.329389	-19.834305	18051905-1950034	14.120		13.670	0.089	13.389	0.054	UAA	622	012	0cc	0	0
271.296468	-19.859436	271.296468	-19.859436	18051115-1951339	17.110		14.423	0.078	13.399	0.071	UBE	022	011	000	0	0
271.328401	-19.821033	271.328401	-19.821033	18051881-1949157	16.258		14.572	0.135	13.399	0.082	UCA	022	011	0cc	0	0
271.299823	-19.844381	271.299823	-19.844381	18051195-1950397	15.157		14.291	0.050	13.418	0.060	UBA	022	011	0cc	0	0
271.280092	-19.859352	271.280092	-19.859352	18050722-1951336	15.437		14.272	0.069	13.420	0.058	UBA	022	011	0cc	0	0
271.295945	-19.864288	271.295945	-19.864288	18051102-1951514	15.766		14.484	0.090	13.426	0.075	UCA	022	011	000	0	0
271.316372	-19.832428	271.316372	-19.832428	18051592-1949567	14.891	0.052	14.119	0.096	13.428	0.094	ABA	222	111	000	0	0
271.328360	-19.852139	271.328360	-19.852139	18051880-1951077	16.091		13.673		13.430	0.057	UUA	062	002	00c	0	0
271.308365	-19.821379	271.308365	-19.821379	18051400-1949169	13.935		13.196		13.435	0.090	UUA	662	003	00c	0	0
271.324995	-19.849648	271.324995	-19.849648	18051799-1950587	15.257		14.561	0.098	13.443	0.044	UCA	022	011	0cc	0	0
271.279391	-19.862968	271.279391	-19.862968	18050705-1951466	16.571		14.321	0.086	13.451	0.073	UBA	022	011	0s0	0	0
271.279365	-19.846479	271.279365	-19.846479	18050704-1950473	15.171	0.097	14.066	0.105	13.453	0.096	AAA	222	111	c00	0	0
271.319771	-19.855898	271.319771	-19.855898	18051674-1951212	14.584	0.039	13.750	0.044	13.453	0.052	AAE	222	111	000	0	0
271.284114	-19.856579	271.284114	-19.856579	18050818-1951236	14.223	0.036	13.667	0.064	13.455	0.077	AAA	222	111	00c	0	0
271.298443	-19.848969	271.298443	-19.848969	18051162-1950562	14.963		14.477	0.152	13.460	0.074	UCA	022	011	0c0	0	0
271.319914	-19.840883	271.319914	-19.840883	18051677-1950271	14.903	0.060	13.948	0.094	13.461	0.093	AAA	222	111	0cc	0	0
271.316463	-19.836773	271.316463	-19.836773	18051595-1950123	15.043		14.480	0.084	13.466		UCU	020	010	0c0	0	0
271.309758	-19.832745	271.309758	-19.832745	18051434-1949578	14.475	0.023	13.841	0.044	13.467	0.052	AAA	222	111	000	0	0
271.313436	-19.819754	271.313436	-19.819754	18051522-1949111	15.401	0.092	14.000		13.498		AUU	200	100	c00	0	0
271.314362	-19.859001	271.314362	-19.859001	18051544-1951324	14.908		13.703		13.502	0.083	UUA	002	001	000	0	0
271.309443	-19.822105	271.309443	-19.822105	18051426-1949195	14.982		14.443	0.066	13.505	0.099	UBA	022	013	0cc	0	0
271.293184	-19.866884	271.293184	-19.866884	18051036-1952007	14.279	0.047	13.752	0.078	13.511	0.078	AAA	222	111	000	0	0
271.298811	-19.860929	271.298811	-19.860929	18051171-1951393	15.363	0.083	13.897		13.525		AUU	200	100	c00	0	0
271.317681	-19.839716	271.317681	-19.839716	18051624-1950229	16.347		14.582	0.117	13.528	0.072	UCA	022	011	0cc	0	0
271.322162	-19.864950	271.322162	-19.864950	18051731-1951538	15.805	0.105	14.361		13.535		BUU	200	200	c00	0	0
271.309740	-19.844704	271.309740	-19.844704	18051433-1950409	14.492		14.177	0.089	13.538	0.064	UBA	022	011	0c0	2	0
271.311914	-19.828806	271.311914	-19.828806	18051485-1949437	16.042		14.049		13.540	0.051	UUA	062	002	00c	0	0
271.289394	-19.828632	271.289394	-19.828632	18050945-1949430	16.015		14.411	0.064	13.541	0.054	UBA	022	011	0pp	0	0
271.316663	-19.836737	271.316663	-19.836737	18051599-1950122	14.999		14.014		13.549	0.066	UUA	002	001	00c	0	0
271.292128	-19.844734	271.292128	-19.844734	18051011-1950410	16.672		14.396	0.075	13.554	0.065	UBA	022	011	000	0	0
271.316247	-19.836803	271.316247	-19.836803	18051589-1950124	15.251	0.056	14.119		13.555		AUU	200	100	000	0	0
271.294420	-19.853458	271.294420	-19.853458	18051066-1951124	15.327		13.621		13.573	0.077	UUA	002	001	00c	0	0
271.315689	-19.820101	271.315689	-19.820101	18051576-1949123	14.489	0.055	13.874	0.062	13.574	0.078	AAA	222	111	00c	0	0
271.325963	-19.864908	271.325963	-19.864908	18051823-1951536	17.222		14.539	0.071	13.575	0.065	UCA	022	011	0cc	0	0
271.297622	-19.863970	271.297622	-19.863970	18051142-1951502	15.552		14.522	0.067	13.585	0.060	UCA	022	011	000	0	0
271.322503	-19.835226	271.322503	-19.835226	18051740-1950068	16.882		14.983		13.590	0.093	UUA	002	001	000	0	0
271.325214	-19.825607	271.325214	-19.825607	18051805-1949321	17.738		15.595		13.595	0.074	UUA	002	001	00s	0	0
271.303874	-19.834593	271.303874	-19.834593	18051292-1950045	15.936	0.097	14.331		13.602		CUU	200	100	000	0	0
271.280443	-19.822805	271.280443	-19.822805	18050730-1949220	15.004	0.105	14.027	0.124	13.602	0.116	ABB	222	111	00c	0	0
271.284130	-19.830425	271.284130	-19.830425	18050819-1949495	14.896	0.047	14.242	0.069	13.612		ABU	220	110	0p0	0	0
271.319191	-19.859915	271.319191	-19.859915	18051660-1951356	17.316		14.417		13.622	0.057	UUA	002	001	000	0	0
271.316880	-19.850969	271.316880	-19.850969	18051605-1951034	16.321		14.632	0.072	13.624	0.054	UCA	022	011	000	0	0
271.284646	-19.840122	271.284646	-19.840122	18050831-1950244	15.953		14.391		13.631	0.080	UUA	002	001	000	0	0
271.329092	-19.846966	271.329092	-19.846966	18051898-1950490	14.950		13.869		13.635	0.072	UUA	002	001	00c	0	0
271.291430	-19.824091	271.291430	-19.824091	18050994-1949267	17.221		14.597	0.067	13.655	0.058	UCA	022	011	000	0	0
271.319000	-19.849693	271.319000	-19.849693	18051656-1950588	14.346	0.055	13.895	0.066	13.657	0.064	AAA	222	111	000	0	0
271.300647	-19.865019	271.300647	-19.865019	18051215-1951540	17.278		14.670	0.087	13.661	0.069	UCA	022	011	000	0	0
271.284175	-19.862068	271.284175	-19.862068	18050820-1951434	16.366		14.403	0.054	13.675	0.066	UBA	022	011	0ss	0	0
271.288010	-19.821661	271.288010	-19.821661	18050912-1949179	16.274		14.501	0.102	13.679	0.075	UCA	022	011	0cc	0	0
271.285660	-19.824074	271.285660	-19.824074	18050855-1949266	15.638		13.906		13.684	0.118	UUB	002	001	000	0	0
271.285359	-19.843018	271.285359	-19.843018	18050848-1950348	14.469	0.029	13.981	0.041	13.686	0.060	AAA	222	111	000	0	0
271.313291	-19.842287	271.313291	-19.842287	18051518-1950322	15.242	0.043	14.487	0.065	13.687		ACU	220	110	000	0	0
271.281946	-19.867552	271.281946	-19.867552	18050766-1952031	17.029		14.695	0.060	13.701	0.055	UCB	022	011	000	0	0
271.317888	-19.836266	271.317888	-19.836266	18051629-1950105	15.991	0.102	14.635		13.703		CUU	200	100	000	0	0
271.297322	-19.843149	271.297322	-19.843149	18051135-1950353	15.305	0.060	14.588	0.086	13.711		ACU	220	110	0c0	0	0
271.290461	-19.866474	271.290461	-19.866474	18050971-1951593	15.685	0.078	14.333		13.711		BUU	200	100	000	0	0
271.284216	-19.833948	271.284216	-19.833948	18050821-1950022	15.268		13.940		13.722	0.069	UUB	002	001	000	0	0
271.315141	-19.846148	271.315141	-19.846148	18051563-1950461	15.770	0.112	14.321		13.722		BUU	200	100	000	0	0
271.300438	-19.860886	271.300438	-19.860886	18051210-1951391	14.264	0.049	13.827	0.060	13.723	0.076	AAB	222	111	0ss	0	0
271.301016	-19.830368	271.301016	-19.830368	18051224-1949493	14.544	0.041	13.912	0.057	13.739	0.079	AEB	222	111	0cc	0	0
271.307411	-19.821548	271.307411	-19.821548	18051377-1949175	14.465		13.599		13.758	0.081	UUB	662	002	00c	0	0
271.314537	-19.818878	271.314537	-19.818878	18051548-1949079	15.035	0.104	14.272	0.126	13.761	0.103	ABB	222	111	000	0	0
271.286778	-19.819056	271.286778	-19.819056	18050882-1949086	14.761	0.048	14.126	0.058	13.768	0.071	ABB	222	111	000	0	0
271.304275	-19.828144	271.304275	-19.828144	18051302-1949413	15.381	0.061	14.295		13.769		AUU	200	100	000	0	0
271.295648	-19.867645	271.295648	-19.867645	18051095-1952035	16.220		14.546		13.769	0.077	UUB	002	001	00c	0	0
271.279684	-19.824339	271.279684	-19.824339	18050712-1949276	15.700		14.523	0.153	13.770	0.140	UCB	022	011	000	0	0
271.283980	-19.842096	271.283980	-19.842096	18050815-1950315	15.650		14.727		13.770	0.088	UUB	002	001	000	0	0
271.308519	-19.822962	271.308519	-19.822962	18051404-1949226	14.895		14.216	0.086	13.772	0.060	UBB	622	012	00c	0	0
271.326593	-19.830980	271.326593	-19.830980	18051838-1949515	14.357	0.044	13.890	0.050	13.782	0.074	AAB	222	111	000	0	0
271.307001	-19.829809	271.307001	-19.829809	18051368-1949473	14.670	0.036	14.004	0.029	13.797	0.064	AAB	222	111	000	0	0
271.313771	-19.863907	271.313771	-19.863907	18051530-1951500	15.620	0.098	14.618	0.124	13.807		BCU	220	110	cp0	0	0
271.320494	-19.849714	271.320494	-19.849714	18051691-1950589	15.124	0.117	14.026		13.821		BUU	200	100	c00	0	0
271.313869	-19.865520	271.313869	-19.865520	18051532-1951558	15.444		14.101		13.826	0.080	UUB	002	001	00c	0	0
271.291087	-19.842081	271.291087	-19.842081	18050986-1950314	17.047		14.740	0.079	13.829	0.061	UCB	022	011	000	0	0
271.320750	-19.836559	271.320750	-19.836559	18051698-1950116	17.587		15.145		13.851	0.076	UUB	002	001	000	0	0
271.279586	-19.854712	271.279586	-19.854712	18050710-1951169	16.824		14.581	0.132	13.857	0.116	UCB	022	011	0cc	0	0
271.327640	-19.858969	271.327640	-19.858969	18051863-1951322	17.659		15.676		13.870	0.063	UUB	002	001	000	0	0
271.285826	-19.862169	271.285826	-19.862169	18050859-1951438	14.911	0.071	14.432	0.100	13.986		ABU	220	110	0s0	0	0
271.312780	-19.859613	271.312780	-19.859613	18051506-1951346	15.549	0.072	14.513		13.998		BUU	200	100	000	0	0
